Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured_yield,Yield_kg_per_ha,altura,SAND,SILT,CLAY,KA5,SOC,BD
Boosen,196,1,464245,5805225,53.711689,5371,55.92600632,82.15638852,14.09705684,3.746554642,SU2,0.860764338,1.383000437
Boosen,197,1,464255,5805225,49.31041718,4931,55.60995102,81.87940738,14.31525584,3.805336781,SU2,0.859160056,1.382957017
Boosen,198,1,464265,5805225,51.17169571,5117,55.42978668,81.64008402,14.54753129,3.812384689,SU2,0.917147115,1.374573846
Boosen,199,1,464275,5805225,49.30985641,4931,55.40882492,82.3603322,13.90746626,3.732201539,SU2,0.884609338,1.379812765
Boosen,200,1,464135,5805215,47.41770554,4742,55.9539032,84.80880795,11.54991989,3.641272156,SU2,0.850159853,1.386864648
Boosen,201,1,464145,5805215,48.65906525,4866,56.01281357,84.82117064,11.7897803,3.389049058,SU2,0.859446843,1.385686814
Boosen,202,1,464155,5805215,47.63674164,4764,56.16238022,85.42572509,10.92153637,3.652738535,SU2,0.833938885,1.389704918
Boosen,203,1,464165,5805215,52.93802261,5294,56.33509064,83.40310474,12.0960429,4.500852366,SL2,0.722311038,1.403644808
Boosen,204,1,464175,5805215,48.96429062,4896,56.51346588,81.46455394,14.06996592,4.465480136,SU2,0.733740593,1.400307875
Boosen,205,1,464185,5805215,51.15543365,5116,56.74829865,81.57514785,14.68927581,3.73557634,SU2,0.899984471,1.376964326
Boosen,206,1,464195,5805215,44.17717361,4418,57.00892258,82.74723747,13.52254134,3.730221183,SU2,0.879002657,1.380941145
Boosen,207,1,464205,5805215,44.02095032,4402,57.15965271,83.03452967,13.20479008,3.760680245,SU2,0.897789901,1.378527624
Boosen,208,1,464215,5805215,43.01661682,4302,57.13465118,82.91462172,13.36465154,3.720726738,SU2,0.829572896,1.388111717
