Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured_yield,Yield_kg_per_ha,height,SAND,SILT,CLAY,Upper_depth,Lower_depth,Thickness,KA5,SOC,BD
Boosen,28,2,464215,5805375,80.45096588,8045,50.88880157,72.99291092,20.73997635,6.267112735,30,60,30,SL2,0.177411406,1.478690298
Boosen,28,3,464215,5805375,80.45096588,8045,50.88880157,75.19271908,15.46146651,9.345814405,60,90,30,SL3,0.113681809,1.489667851
Boosen,28,4,464215,5805375,80.45096588,8045,50.88880157,75.19271908,15.46146651,9.345814405,90,200,110,SL3,0.113681809,1.489667851
Boosen,29,1,464225,5805375,78.4151535,7842,50.8171196,72.84779516,22.00661062,5.145594229,0,30,30,SL2,0.863797173,1.373761654
Boosen,29,2,464225,5805375,78.4151535,7842,50.8171196,73.41560899,20.41010721,6.174283802,30,60,30,SL2,0.235891394,1.469463507
Boosen,29,3,464225,5805375,78.4151535,7842,50.8171196,74.91506203,16.44018673,8.644751235,60,90,30,SL3,0.126514826,1.487630233
Boosen,29,4,464225,5805375,78.4151535,7842,50.8171196,74.91506203,16.44018673,8.644751235,90,200,110,SL3,0.126514826,1.487630233
Boosen,30,1,464235,5805375,77.2399826,7724,50.67379761,72.77422343,21.36724205,5.858534524,0,30,30,SL2,0.873505274,1.371955348
Boosen,30,2,464235,5805375,77.2399826,7724,50.67379761,73.32368864,19.88131911,6.794992244,30,60,30,SL2,0.473465502,1.431201639
Boosen,30,3,464235,5805375,77.2399826,7724,50.67379761,74.46350476,16.8412363,8.695258933,60,90,30,SL3,0.126256884,1.487255205
Boosen,30,4,464235,5805375,77.2399826,7724,50.67379761,74.46350476,16.8412363,8.695258933,90,200,110,SL3,0.126256884,1.487255205
Boosen,31,1,464245,5805375,71.39003754,7139,50.62340164,70.36348217,21.83464157,7.801876263,0,30,30,SL3,0.917907294,1.362611286
Boosen,31,2,464245,5805375,71.39003754,7139,50.62340164,70.58700166,20.13091667,9.282081668,30,60,30,SL3,0.51153048,1.421663922
Boosen,31,3,464245,5805375,71.39003754,7139,50.62340164,68.26455152,18.31135657,13.42409191,60,90,30,SL4,0.234863082,1.461413407
Boosen,31,4,464245,5805375,71.39003754,7139,50.62340164,68.26455152,18.31135657,13.42409191,90,200,110,SL4,0.234863082,1.461413407
Boosen,32,1,464255,5805375,57.36875153,5737,50.65113068,70.88782268,20.37424467,8.73793265,0,30,30,SL3,0.926431891,1.361391486
